file,line_or_section,found_text,canonical_term,violation_type,notes
help/key-concepts.mdx,186,"""Think of Tubs as: Folders, categories, or asset types—but with superpowers.""",Tub,forbidden-synonym,"GLOSSARY.md 'Instead of' column for Tub lists exactly Folder / category / group. This sentence presents all three as equivalents, which is the anti-pattern the glossary is written to prevent. Nav position #3 (Key Concepts) is the page every other help page defers to for the Tub definition, so this is the reader's first and most authoritative exposure to the term."
help/pages-overview.mdx,22,"""Simple redirects, single-purpose codes"" (Direct Mode table row)",Direct Mode,forbidden-synonym,"GLOSSARY 'Instead of' column for Direct Mode lists Simple redirect / forwarding / pass-through explicitly. Table cell describes Direct Mode using the banned synonym instead of the canonical name."
help/key-concepts.mdx,108,"""Simple redirects (QR code → one URL)""",Direct Mode,forbidden-synonym,"Same forbidden synonym as pages-overview.mdx, inside the '### Direct Mode' section itself — the term is being defined and undermined by its own banned synonym in the same breath."
help/key-concepts.mdx,264,"""Links can exist without Items (useful for simple redirects)""",Direct Mode,forbidden-synonym,"Third occurrence of the banned 'simple redirect' phrase in this file's FAQ section."
help/print-batches.mdx,"title + entire page (lines 1-99)","""Print Batches"" / ""Print Batch"" used throughout as the page title, H1 concept, and every section heading",Media Batch,canonical-term-mismatch,"GLOSSARY.md defines the canonical term as 'Media Batch' ('A production run of Media items produced together... Instead of: Print run, production run, order'). There is no 'Print Batch' entry in GLOSSARY.md at all. This entire page — title, the docs.json nav group it lives in ('Printing'), and every heading — names the feature 'Print Batch(es)' instead. Verified against ../qrtub/src: the app's own DB table is literally `access_link_print_batches` and the service is called 'Print Batches service', so the docs are accurately describing today's (not-yet-aligned) app UI — but GLOSSARY.md explicitly says 'Do not treat the current app copy as the reference when writing new material — use this file.' This is the same class of drift the glossary already calls out for 'profile page', just not yet listed there for Media/Print Batch."
help/media-basics.mdx,"31 vs 35 and 108",Line 31: ""Manage Media Batches from different print partners"" — Line 35 and 108 headings: ""Print batches"" / ""## Print Batches""",Media Batch,internal-inconsistency,"Within this single file the same feature is named 'Media Batches' (correct, matches GLOSSARY) in the 'Why Track Media Separately' bullet, then renamed 'Print Batches' as a full section heading a few lines later. A reader of just this one page sees both names for what is presented as the same thing."
help/print-first-workflow.mdx,110,"Related link: ""[Print Batches](/help/print-batches)""",Media Batch,canonical-term-mismatch,"Propagates the 'Print Batch' naming into a cross-link from a different page, reinforcing the site-wide mismatch rather than the glossary's 'Media Batch'."
help/print-first-workflow.mdx,"48-58 (section ""What happens if someone scans a tag early"")","""an unconnected code does not 404... gets an option to assign it there and then, from their phone""",Claim-on-scan,missing-canonical-term,"GLOSSARY.md defines 'Claim-on-scan' ('First scan claims ownership of a Link') as a canonical term with explicit banned synonyms (Activation, registration). This section describes the exact Claim-on-scan mechanic in full, but the term 'Claim-on-scan' does not appear anywhere in this file, or anywhere else in help/, industries/, or integrations/ — a sitewide grep for 'claim' found zero matches. The concept is documented; the vocabulary for it is not, so a reader can't connect this behaviour back to the glossary name if they encounter it elsewhere."
industries/civil-construction.mdx,"51, 84, 92, 171, 177","""Physical codes stay fixed. Digital destinations update instantly."" (and 4 more instances, all lowercase)",Destination,casing-variant,"Every single occurrence of the word in this file is lowercase 'destinations' — it is never capitalized once, whereas 'Destination/Destinations' is capitalized as the product term essentially everywhere else in the corpus (index.mdx, key-concepts.mdx, pages-overview.mdx, building-a-page.mdx, both integrations pages, and the other 4 industry pages). This file is the outlier for the entire corpus on this term."
index.mdx,30,"""Pages with multiple destinations"" (bullet, in the same list as ""Bulk Link generation"")",Destination,casing-variant,"Same bullet list capitalizes 'Link' in the line above but not 'destinations' in this line — inconsistent casing within one four-item list on the homepage, which is also the first page a cold reader/retrieval hit sees."
