path,title,description,other_fields,missing_description,description_duplicates_title,description_too_long,description_reads_badly_standalone,inert_fields_present,notes
index.mdx,Welcome to QRtub,Print Once. Update Forever.,(none),no,no,no,yes,none,"Description is a marketing tagline, not a content summary — gives no indication of what the page actually covers. As a standalone llms.txt line it tells a reader/AI nothing about page content, only a slogan. Consider a description stating what the homepage orients readers to (product overview, links into help/industries/integrations)."
help/creating-your-first-link.mdx,Creating Your First Link,"Generate your first Link, download the QR code, and connect it to an Item",slug: creating-your-first-link; sidebar_position: 1; category: getting-started,no,no,no,no,"slug, sidebar_position, category","All three extra fields are confirmed inert: not part of Mintlify's frontmatter schema, navigation is driven entirely by docs.json. Matches and confirms CLAUDE.md's existing 'inert leftovers' guidance per mintlify-guidance.md section 5."
help/key-concepts.mdx,Key Concepts,"The three-entity model, Link modes, Tubs, and the print-before-link workflow",slug: key-concepts; sidebar_position: 1; category: fundamentals,no,no,no,no,"slug, sidebar_position, category","Description is a noun-phrase list rather than a full sentence — acceptable but terse for a standalone llms.txt line. Inert fields confirmed per mintlify-guidance.md section 5 (navigation lives in docs.json, not these fields)."
help/print-first-workflow.mdx,The Print-First Workflow,"Order your tags in bulk before the assets exist, apply them as gear arrives, and connect them when you are ready",(none),no,no,no,no,none,No frontmatter fields beyond title/description.
help/media-basics.mdx,Physical Media Management Basics,How to think about the physical material your QR codes are printed on,slug: media-basics; sidebar_position: 1; category: media,no,no,no,yes,"slug, sidebar_position, category","Opens with vague framing ('How to think about...') rather than stating concrete content. Mintlify's own GEO guidance (mintlify-guidance.md section 7) explicitly warns vague descriptions don't get cited by AI answer engines. Consider naming what the page covers concretely, and note per-item Media isn't tracked (per CLAUDE.md UC-008) so readers don't infer more capability than exists. Inert fields confirmed per section 5."
help/custom-fields.mdx,Custom Fields,"Define the fields your Items need, set allowed values and defaults, and link Items to other records",(none),no,no,no,no,none,No frontmatter fields beyond title/description.
help/pages-overview.mdx,Pages Overview,"What a Page is, when a Link should open one, and how Destinations fit together",sidebar_position: 1,no,no,no,no,sidebar_position,"sidebar_position present without slug/category, still confirmed inert per mintlify-guidance.md section 5 — page order comes entirely from docs.json's navigation array."
help/building-a-page.mdx,Building a Page,"Use the Page Editor to lay out sections, bind Item data, and theme the page people see when they scan",(none),no,no,no,no,none,No frontmatter fields beyond title/description.
help/using-fields.mdx,Using Fields in Pages,"Reference Item data, Tub information, user session, and device details in URLs and conditions",sidebar_position: 3,no,no,no,no,sidebar_position,"Mentions 'user session' as a data source; the documented binding namespaces in CLAUDE.md / mintlify-guidance.md are item/tub/device/time only. Verify 'user session' against ../qrtub/src/lib/page/bindings.ts before treating as accurate — content-accuracy question flagged for follow-up, outside this frontmatter-only audit's scope."
help/conditional-visibility.mdx,Conditional Visibility,Show or hide Destinations on Pages based on conditions,sidebar_position: 4,no,no,no,no,sidebar_position,"Description is close to a plain-language definition of the title term, but does add the specific object (Destinations on Pages) not present in the title — kept as non-duplicate, borderline case worth a second look."
help/device-detection.mdx,Device Detection & Routing,"Route users to different Destinations based on their device type, operating system, or browser",sidebar_position: 5,no,no,no,no,sidebar_position,
help/app-links.mdx,App Links & Fallback URLs,"Use deep links to open mobile apps directly, with automatic fallback when the app isn't installed",sidebar_position: 6,no,no,no,no,sidebar_position,
help/print-batches.mdx,Print Batches,"Track a production run from export to installation, and see which codes are actually deployed",(none),no,no,no,no,none,No frontmatter fields beyond title/description.
industries/civil-construction.mdx,QRtub for Civil Construction,"One QR code per machine, linking to inspections, maintenance and operator manuals",slug: civil-construction; sidebar_position: 1; industry: Construction; featured: true,no,no,no,no,"slug, sidebar_position","industry and featured are also custom fields absent from Mintlify's schema. mintlify-guidance.md section 5 notes arbitrary custom keys are accepted but do nothing unless a component/theme reads them; since CLAUDE.md instructs avoiding Mintlify components, these likely have no current effect either, though the guidance file's targeted research covered slug/sidebar_position/category specifically, not these two names."
industries/contract-cleaning.mdx,QRtub for Contract Cleaning,"QR codes across client facilities for inspections, issue reporting and service records",slug: contract-cleaning; sidebar_position: 2; industry: Cleaning; featured: true,no,no,no,no,"slug, sidebar_position",Same industry/featured custom-field caveat as civil-construction.mdx.
industries/arboriculture-tree-management.mdx,QRtub for Arboriculture & Tree Management,"QR codes for tree populations: inspections, works history, and public transparency",slug: arboriculture-tree-management; sidebar_position: 3; industry: Arboriculture; featured: true,no,no,no,no,"slug, sidebar_position",Same industry/featured custom-field caveat as civil-construction.mdx.
industries/electrical-test-and-tag.mdx,QRtub for Electrical Test and Tag,"QR codes on tested equipment, linking to your test platform and compliance records",slug: electrical-test-and-tag; sidebar_position: 4; industry: Electrical Testing; featured: true,no,no,no,no,"slug, sidebar_position",Same industry/featured custom-field caveat as civil-construction.mdx.
industries/local-government-councils.mdx,QRtub for Local Councils,"QR codes on council assets for inspections, contractor access and public reporting",slug: local-government-councils; sidebar_position: 5; industry: Local Government; featured: true,no,no,no,no,"slug, sidebar_position","Same industry/featured custom-field caveat as civil-construction.mdx. Also: title says 'Local Councils' while filename/slug say 'local-government-councils' — minor naming inconsistency, not a frontmatter defect."
