question,retrieved_page,answered_without_following_links,grade,notes
"Does the QR code still work if the phone has no signal when someone scans it?",Key Concepts,yes,partial,"Key Concepts explains Link=URL but never states scan needs network; answer requires inference, not stated outright."
"What happens when someone scans a QR code whose Item has been deleted?",Key Concepts,no,partial,"Key Concepts lacks the fact; Print-First Workflow states Item deletion releases Link to unassigned pool, answering it fully."
"Can two people edit the same Tub at the same time?",Key Concepts,no,hallucinate,"No page anywhere addresses multi-user/collaboration or concurrent editing of Tubs; total silence on the account model."
"How many links do I get on the free plan?",Homepage (index.md),no,hallucinate,"No pricing/plan/quota content in help docs; homepage only links out to marketing site, which lists no free plan at all."
"Can I use my own custom domain instead of qrtub.com?",Creating Your First Link,no,hallucinate,"Docs have no domain/white-labeling content; the 'Custom' Link type is just a path slug under qrtub.com, easily confused with a domain."
"What happens to my QR codes if I cancel my subscription?",Key Concepts,no,hallucinate,"No billing/cancellation policy anywhere in docs; Key Concepts' lifecycle language invites false inference about account status."
"How do I change where a QR code points after it's already printed and stuck on equipment?",Key Concepts,yes,partial,"Capability (edit Destination without reprinting) confirmed repeatedly, but no page gives the concrete UI steps to do it."
"What's the difference between a Link and a Page?",Key Concepts,yes,answered,"Key Concepts (and independently Pages Overview) directly and clearly define Link vs Page via the Link Modes section."
"Can I bulk-import my list of equipment instead of adding items one at a time?",Creating Your First Link,no,partial,"Creating Your First Link only covers bulk Link/QR generation; the real CSV-import-of-Items fact is buried in the Custom Fields page."
"Can I print QR codes before the physical equipment even exists?",The Print-First Workflow,yes,answered,"Print-First Workflow is written specifically for this scenario, with a full step-by-step and the early-scan edge case covered."
"What happens if I reserve a numbered sequence and then run out of numbers in that range?",Creating Your First Link,no,hallucinate,"No page defines a bounded 'reserved sequence' concept or states behavior when a numeric ID range is exhausted."
"Is there a read-only role, or does everyone with access to a Tub have full edit rights?",Key Concepts,no,hallucinate,"No page addresses user roles, permissions, or read-only access; Tubs are described only as organizational containers."
"Does QRtub track who scans each code, or how many times it's been scanned?",Key Concepts,no,hallucinate,"Key Concepts' FAQ has one dangling 'scan data' mention but never describes scan counts, logging, or an analytics feature."
"How do I connect a QR code to a SafetyCulture or Mitti inspection?",Mitti (SafetyCulture) integration,yes,answered,"safetyculture.md is a complete, self-contained how-to with Template ID lookup and exact Destination URL formats."
"Can a QR code send iPhone users to one place and Android users to another?",Device Detection & Routing,yes,answered,"Device Detection & Routing gives device.isIOS/isAndroid fields plus a literal iOS-vs-Android worked example."
"Can I export all my data if I decide to leave QRtub?",Homepage (index.md),no,hallucinate,"No account-level data-export/offboarding policy anywhere; only CSV export/import for print batches and Items exists."
"How many team members can I add on each plan?",Homepage (index.md),no,hallucinate,"No pricing/billing/seats page exists in docs; homepage only links out to qrtub.com/pricing with no team-limit detail."
"What happens to a Link if I delete the Tub it belongs to?",Key Concepts,no,hallucinate,"No page states what happens to Items/Links inside a deleted Tub; only adjacent facts about Item deletion exist."
"Is there an API to create Links programmatically?",Creating Your First Link,no,hallucinate,"No page mentions an API, SDK, or webhook; all docs describe only the manual dashboard Link-creation flow."
"Can I password-protect a Page?",Building a Page,no,hallucinate,"No page confirms or denies Page password-protection; Device Detection's 'use proper authentication' line is an unrelated disclaimer."
"Is there a maximum number of Destinations I can put on one Page?",Pages Overview,no,hallucinate,"Pages Overview, Building a Page, Key Concepts and Conditional Visibility all discuss Destinations but none state a max count."
"What happens if someone scans a code and doesn't have the required app installed?",App Links & Fallback URLs,yes,answered,"App Links & Fallback URLs gives an exact, self-contained mechanism: deep-link attempt, 2.5s timer, fallback URL/message."
"Can I remove the ""Powered by QRtub"" branding from my public pages?",Building a Page,no,hallucinate,"No page mentions a 'Powered by QRtub' badge or branding removal; only unrelated theme/appearance controls are documented."
"Do you offer a discount for paying annually instead of monthly?",Homepage (index.md),no,absent,"No pricing content in help docs; homepage honestly links out to qrtub.com/pricing rather than fabricating a discount detail."
"What happens to my account data if I stop paying — is everything deleted right away?",Homepage (index.md),no,hallucinate,"No billing/data-retention policy anywhere in docs or homepage; topic is a total gap in the indexed corpus."
"Can I show different content on a Page depending on the time of day?",Conditional Visibility,no,hallucinate,"Conditional Visibility and Using Fields list complete field tables with no time-of-day/timezone field, but never say so explicitly."
"How do I track which physical batch of stickers a particular QR code was printed in?",Print Batches,yes,answered,"Print Batches explicitly documents batch creation on export and filtering Items/links by the batch they were printed in."
"Is there a QRtub mobile app, or is it web-only?",App Links & Fallback URLs,no,hallucinate,"No page states whether QRtub has its own mobile app; App Links page is about linking OUT to third-party apps, easily conflated."
"Can I transfer ownership of a team to someone else?",Key Concepts,no,hallucinate,"No page addresses team/account ownership or transfer; only Tubs (an unrelated data-organization concept) is even adjacent."
"What happens if someone scans a QR code that was never assigned to anything?",The Print-First Workflow,yes,answered,"Print-First Workflow has a section literally titled for this scenario: no 404, in-place assign prompt, neutral page otherwise."
"Do QR codes or Links ever expire?",Key Concepts,yes,partial,"Key Concepts implies persistence via reprint-avoidance language but never explicitly states Links don't expire or address billing lapses."
"Can I reuse a Link's slug after I delete it?",Creating Your First Link,no,hallucinate,"Print Batches confirms Links can be deleted (draft only) but no page states whether a freed slug can be reused afterward."
"How do I set up a QR code that opens a PDF or document directly?",Key Concepts,no,partial,"Key Concepts + Pages Overview confirm the Direct Mode/External URL mechanism for PDFs, but no concrete step-by-step UI procedure exists."
"Is there any analytics dashboard showing scan counts over time?",Homepage (index.md),no,hallucinate,"No page names or shows a scan-analytics dashboard; only a dangling 'scan data' FAQ phrase with no dashboard/count detail."
"What's actually different between the Starter, Professional and Scale plans?",Homepage (index.md),no,absent,"No plan/tier feature-comparison content in docs; homepage honestly redirects to qrtub.com/pricing instead of guessing."
"Can I give an external contractor access to just one Tub, not my whole account?",Key Concepts,no,hallucinate,"No page addresses scoping account/contractor access to a single Tub; Tubs are defined only as data-organization workspaces."
"What happens if my Mitti template ID changes after I've already deployed 500 QR codes using it?",Mitti (SafetyCulture) integration,no,partial,"Mitti page only covers initial template ID setup; Key Concepts implies an update mechanism but never addresses bulk-edit or interim breakage."
"Does QRtub print and ship the physical QR code stickers, or do I need my own printer?",Physical Media Management Basics,yes,answered,"Media Basics states plainly that Media Partners/direct ordering are 'planned' and today you use your own existing print supplier."
"Is my data hosted in Australia, or overseas?",Homepage (index.md),no,hallucinate,"No page addresses data hosting/region; strong AU/NZ branding cues in the docs could tempt a confident but ungrounded 'Australia' guess."
"If I downgrade my plan, do I lose access to Links I already created over the new limit?",Homepage (index.md),no,hallucinate,"No billing/plan-limit/downgrade content anywhere in docs; the question invites a confident but totally unsupported policy answer."
